,window_start,ticker,symbol,contract_month,contract_year,transactions,open,high,low,close,session_end_date,settlement_price,dollar_volume,volume,timeframe
0,2026-01-08 15:00:00,MNQH6,MNQ,H,2026.0,21801,25603.25,25615.0,25569.5,25609.25,2026-01-08,,1129617465,44143,5min
1,2026-01-08 16:35:00,MNQH6,MNQ,H,2026.0,11013,25615.75,25635.0,25583.75,25625.0,2026-01-08,,590958068,23079,5min
2,2026-01-08 19:15:00,MNQH6,MNQ,H,2026.0,7165,25614.0,25633.0,25597.0,25632.0,2026-01-08,,401901002,15691,5min
3,2026-01-08 19:40:00,MNQH6,MNQ,H,2026.0,3809,25621.75,25629.75,25611.5,25620.5,2026-01-08,,222873795,8699,5min
4,2026-01-08 19:45:00,MNQH6,MNQ,H,2026.0,2945,25620.5,25629.75,25617.0,25629.5,2026-01-08,,166498763,6498,5min
5,2026-01-08 19:55:00,MNQH6,MNQ,H,2026.0,4489,25634.75,25634.75,25617.0,25633.75,2026-01-08,,250716634,9784,5min
6,2026-01-08 20:05:00,MNQH6,MNQ,H,2026.0,2980,25639.5,25641.0,25625.25,25639.5,2026-01-08,,167255838,6525,5min
7,2026-01-09 01:35:00,MNQH6,MNQ,H,2026.0,1016,25634.25,25636.0,25627.0,25633.75,2026-01-09,,49339495,1925,5min
8,2026-01-09 01:40:00,MNQH6,MNQ,H,2026.0,665,25633.5,25639.0,25629.5,25637.5,2026-01-09,,27608115,1077,5min
9,2026-01-09 01:45:00,MNQH6,MNQ,H,2026.0,821,25637.0,25646.5,25634.5,25644.0,2026-01-09,,37615189,1467,5min
10,2026-01-09 01:50:00,MNQH6,MNQ,H,2026.0,854,25644.25,25650.75,25638.25,25648.75,2026-01-09,,44314123,1728,5min
11,2026-01-09 01:55:00,MNQH6,MNQ,H,2026.0,667,25648.5,25654.0,25647.75,25651.5,2026-01-09,,34038471,1327,5min
12,2026-01-09 02:05:00,MNQH6,MNQ,H,2026.0,814,25658.25,25659.0,25649.0,25659.0,2026-01-09,,38045379,1483,5min
13,2026-01-09 02:10:00,MNQH6,MNQ,H,2026.0,506,25659.0,25660.5,25651.5,25653.5,2026-01-09,,25502492,994,5min
14,2026-01-09 02:15:00,MNQH6,MNQ,H,2026.0,922,25654.25,25675.5,25652.0,25673.0,2026-01-09,,55869819,2177,5min
15,2026-01-09 07:30:00,MNQH6,MNQ,H,2026.0,684,25658.5,25660.5,25652.0,25656.75,2026-01-09,,38688864,1508,5min
16,2026-01-09 07:35:00,MNQH6,MNQ,H,2026.0,714,25657.25,25669.0,25656.75,25668.5,2026-01-09,,43266441,1686,5min
17,2026-01-09 09:00:00,MNQH6,MNQ,H,2026.0,1049,25674.5,25681.75,25662.25,25666.75,2026-01-09,,53371612,2079,5min
18,2026-01-09 09:05:00,MNQH6,MNQ,H,2026.0,740,25666.75,25675.0,25663.5,25666.5,2026-01-09,,36835242,1435,5min
19,2026-01-09 09:10:00,MNQH6,MNQ,H,2026.0,421,25666.25,25674.0,25664.25,25673.25,2026-01-09,,21021858,819,5min
20,2026-01-09 09:15:00,MNQH6,MNQ,H,2026.0,672,25673.75,25680.75,25672.25,25680.25,2026-01-09,,32018409,1247,5min
21,2026-01-09 09:20:00,MNQH6,MNQ,H,2026.0,444,25680.25,25686.25,25675.75,25685.0,2026-01-09,,23216190,904,5min
22,2026-01-09 09:25:00,MNQH6,MNQ,H,2026.0,599,25686.0,25696.5,25683.75,25695.75,2026-01-09,,32473546,1264,5min
23,2026-01-09 09:30:00,MNQH6,MNQ,H,2026.0,1513,25696.25,25718.75,25696.25,25715.75,2026-01-09,,82965294,3227,5min
24,2026-01-09 15:05:00,MNQH6,MNQ,H,2026.0,28682,25712.25,25719.0,25615.75,25642.5,2026-01-09,,1394249487,54324,5min
25,2026-01-09 15:10:00,MNQH6,MNQ,H,2026.0,25942,25643.0,25751.75,25639.0,25748.0,2026-01-09,,1286129927,50045,5min
26,2026-01-09 15:15:00,MNQH6,MNQ,H,2026.0,18858,25747.5,25769.5,25731.75,25769.25,2026-01-09,,906381865,35196,5min
27,2026-01-09 15:20:00,MNQH6,MNQ,H,2026.0,18526,25769.0,25814.75,25752.0,25799.75,2026-01-09,,934988210,36258,5min
28,2026-01-09 15:45:00,MNQH6,MNQ,H,2026.0,17411,25781.0,25800.0,25761.0,25772.5,2026-01-09,,897195892,34802,5min
29,2026-01-09 15:55:00,MNQH6,MNQ,H,2026.0,11960,25775.5,25815.0,25763.5,25811.75,2026-01-09,,617448103,23942,5min
30,2026-01-09 16:00:00,MNQH6,MNQ,H,2026.0,13507,25811.25,25854.25,25810.75,25841.0,2026-01-09,,683325284,26452,5min
31,2026-01-09 16:05:00,MNQH6,MNQ,H,2026.0,10764,25841.0,25888.0,25836.0,25885.0,2026-01-09,,562329167,21743,5min
32,2026-01-09 16:35:00,MNQH6,MNQ,H,2026.0,7152,25856.0,25867.0,25845.0,25865.75,2026-01-09,,346991217,13419,5min
33,2026-01-09 16:40:00,MNQH6,MNQ,H,2026.0,5757,25866.0,25876.0,25852.25,25868.25,2026-01-09,,295721768,11434,5min
34,2026-01-09 16:45:00,MNQH6,MNQ,H,2026.0,6786,25868.0,25899.5,25866.75,25896.5,2026-01-09,,372192904,14380,5min
35,2026-01-12 08:40:00,MNQH6,MNQ,H,2026.0,2133,25637.75,25653.25,25632.75,25650.25,2026-01-12,,105645053,4120,5min
36,2026-01-12 08:50:00,MNQH6,MNQ,H,2026.0,1614,25644.5,25667.5,25638.75,25663.5,2026-01-12,,75711030,2951,5min
37,2026-01-12 09:00:00,MNQH6,MNQ,H,2026.0,2239,25659.75,25682.5,25659.5,25679.5,2026-01-12,,100765428,3925,5min
38,2026-01-12 09:30:00,MNQH6,MNQ,H,2026.0,979,25679.5,25682.75,25665.0,25671.5,2026-01-12,,46058851,1794,5min
39,2026-01-12 09:35:00,MNQH6,MNQ,H,2026.0,535,25671.75,25677.75,25667.25,25674.75,2026-01-12,,26468004,1031,5min
40,2026-01-12 09:40:00,MNQH6,MNQ,H,2026.0,822,25674.75,25684.5,25668.25,25675.75,2026-01-12,,41237575,1606,5min
41,2026-01-12 09:45:00,MNQH6,MNQ,H,2026.0,614,25675.5,25687.0,25675.25,25682.25,2026-01-12,,30973126,1206,5min
42,2026-01-12 09:50:00,MNQH6,MNQ,H,2026.0,900,25681.75,25698.75,25675.75,25698.25,2026-01-12,,45622808,1776,5min
43,2026-01-12 10:15:00,MNQH6,MNQ,H,2026.0,726,25691.5,25706.25,25686.5,25706.25,2026-01-12,,36181762,1408,5min
44,2026-01-12 10:20:00,MNQH6,MNQ,H,2026.0,907,25706.0,25706.5,25689.75,25699.25,2026-01-12,,47333758,1842,5min
45,2026-01-12 10:25:00,MNQH6,MNQ,H,2026.0,458,25699.25,25706.75,25693.5,25705.5,2026-01-12,,23438550,912,5min
46,2026-01-12 10:55:00,MNQH6,MNQ,H,2026.0,702,25712.75,25712.75,25702.0,25708.0,2026-01-12,,32980463,1283,5min
47,2026-01-12 11:00:00,MNQH6,MNQ,H,2026.0,1229,25707.75,25721.25,25705.5,25708.5,2026-01-12,,58905961,2291,5min
48,2026-01-12 11:05:00,MNQH6,MNQ,H,2026.0,559,25708.25,25719.75,25706.75,25713.75,2026-01-12,,27798599,1081,5min
49,2026-01-12 11:55:00,MNQH6,MNQ,H,2026.0,468,25716.25,25720.5,25709.25,25719.0,2026-01-12,,23940353,931,5min
50,2026-01-12 12:00:00,MNQH6,MNQ,H,2026.0,1079,25718.25,25733.0,25713.25,25731.5,2026-01-12,,53709845,2088,5min
51,2026-01-12 14:25:00,MNQH6,MNQ,H,2026.0,5013,25727.0,25750.75,25719.75,25746.0,2026-01-12,,232401168,9031,5min
52,2026-01-12 14:30:00,MNQH6,MNQ,H,2026.0,28800,25745.75,25860.0,25743.75,25856.0,2026-01-12,,1386712532,53718,5min
